var_orig,var_new,label_new,modalities,type_new,keep,label_orig,type_orig
interview__key,interview__key,Interview key (identifier in XX-XX-XX-XX format),NA,,no,Interview key (identifier in XX-XX-XX-XX format),character
interview__id,interview__id,Unique 32-character long identifier of the interview,NA,,no,Unique 32-character long identifier of the interview,character
S0_01,S0_01,0.1 N° du Questionnaire,NA,,no,0.1 N° du Questionnaire,numeric
S0_02,S0_02,0.2 Région,NA,,no,0.2 Région,character
S0_03,S0_03,0.3 Département,NA,,no,0.3 Département,character
S0_04,S0_04,0.4 Arrondissement,NA,,no,0.4 Arrondissement,character
S0_05,S0_05,0.5 Collectivités territoriales,NA,,no,0.5 Collectivités territoriales,character
S0_06,S0_06,0.6 Village/Quartier,NA,,no,0.6 Village/Quartier,character
S0_07,S0_07,0.7 Numéro du DR,NA,,no,0.7 Numéro du DR,character
S0_08,S0_08,0.8 Milieu de résidence,1=Rural | 2=Urbain,,no,0.8 Milieu de résidence,"haven_labelled, vctrs_vctr, double"
S0_9_conc,S0_9_conc,Numero Concession,NA,,no,Numero Concession,character
S0_9,S0_9,0.9 Numéro de ménage (dans l’échantillon),NA,,no,0.9 Numéro de ménage (dans l’échantillon),character
S0_9_men_dr,S0_9_men_dr,Numero menage dans DR,NA,,no,Numero menage dans DR,character
S0_16,S0_16,0.16 Nom et prénom du chef de ménage,NA,,no,0.16 Nom et prénom du chef de ménage,character
coord_gps__Latitude,coord_gps__Latitude,Lieu de l'interview: Latitude,NA,,no,Lieu de l'interview: Latitude,numeric
coord_gps__Longitude,coord_gps__Longitude,Lieu de l'interview: Longitude,NA,,no,Lieu de l'interview: Longitude,numeric
coord_gps__Accuracy,coord_gps__Accuracy,Lieu de l'interview: Accuracy,NA,,no,Lieu de l'interview: Accuracy,numeric
coord_gps__Altitude,coord_gps__Altitude,Lieu de l'interview: Altitude,NA,,no,Lieu de l'interview: Altitude,numeric
coord_gps__Timestamp,coord_gps__Timestamp,Lieu de l'interview: Timestamp,NA,,no,Lieu de l'interview: Timestamp,character
S0_13,S0_13,0.13 Date et heure de début de l'interview,NA,,no,0.13 Date et heure de début de l'interview,character
S0_17,S0_17,0.17 Numéro de téléphone (CM si possible),NA,,no,0.17 Numéro de téléphone (CM si possible),character
S0_18,S0_18,0.18 Numéro de téléphone 2 (Femme si possible),NA,,no,0.18 Numéro de téléphone 2 (Femme si possible),character
S0_19,S0_19,0.19 Numéro de téléphone 3,NA,,no,0.19 Numéro de téléphone 3,character
s13_14,s13_14,« Le répondant est-il le chef de ménage,1=OUI | 2=NON,,no,« Le répondant est-il le chef de ménage,"haven_labelled, vctrs_vctr, double"
S1_Q1__0,S1_Q1__0,I.1. Nom et prénom des membres du ménage:0,NA,,no,I.1. Nom et prénom des membres du ménage:0,character
S1_Q1__1,S1_Q1__1,I.1. Nom et prénom des membres du ménage:1,NA,,no,I.1. Nom et prénom des membres du ménage:1,character
S1_Q1__2,S1_Q1__2,I.1. Nom et prénom des membres du ménage:2,NA,,no,I.1. Nom et prénom des membres du ménage:2,character
S1_Q1__3,S1_Q1__3,I.1. Nom et prénom des membres du ménage:3,NA,,no,I.1. Nom et prénom des membres du ménage:3,character
S1_Q1__4,S1_Q1__4,I.1. Nom et prénom des membres du ménage:4,NA,,no,I.1. Nom et prénom des membres du ménage:4,character
S1_Q1__5,S1_Q1__5,I.1. Nom et prénom des membres du ménage:5,NA,,no,I.1. Nom et prénom des membres du ménage:5,character
S1_Q1__6,S1_Q1__6,I.1. Nom et prénom des membres du ménage:6,NA,,no,I.1. Nom et prénom des membres du ménage:6,character
S1_Q1__7,S1_Q1__7,I.1. Nom et prénom des membres du ménage:7,NA,,no,I.1. Nom et prénom des membres du ménage:7,character
S1_Q1__8,S1_Q1__8,I.1. Nom et prénom des membres du ménage:8,NA,,no,I.1. Nom et prénom des membres du ménage:8,character
S1_Q1__9,S1_Q1__9,I.1. Nom et prénom des membres du ménage:9,NA,,no,I.1. Nom et prénom des membres du ménage:9,character
S1_Q1__10,S1_Q1__10,I.1. Nom et prénom des membres du ménage:10,NA,,no,I.1. Nom et prénom des membres du ménage:10,character
S1_Q1__11,S1_Q1__11,I.1. Nom et prénom des membres du ménage:11,NA,,no,I.1. Nom et prénom des membres du ménage:11,character
S1_Q1__12,S1_Q1__12,I.1. Nom et prénom des membres du ménage:12,NA,,no,I.1. Nom et prénom des membres du ménage:12,character
S1_Q1__13,S1_Q1__13,I.1. Nom et prénom des membres du ménage:13,NA,,no,I.1. Nom et prénom des membres du ménage:13,character
S1_Q1__14,S1_Q1__14,I.1. Nom et prénom des membres du ménage:14,NA,,no,I.1. Nom et prénom des membres du ménage:14,character
S1_Q1__15,S1_Q1__15,I.1. Nom et prénom des membres du ménage:15,NA,,no,I.1. Nom et prénom des membres du ménage:15,character
S1_Q1__16,S1_Q1__16,I.1. Nom et prénom des membres du ménage:16,NA,,no,I.1. Nom et prénom des membres du ménage:16,character
S1_Q1__17,S1_Q1__17,I.1. Nom et prénom des membres du ménage:17,NA,,no,I.1. Nom et prénom des membres du ménage:17,character
S1_Q1__18,S1_Q1__18,I.1. Nom et prénom des membres du ménage:18,NA,,no,I.1. Nom et prénom des membres du ménage:18,character
S1_Q1__19,S1_Q1__19,I.1. Nom et prénom des membres du ménage:19,NA,,no,I.1. Nom et prénom des membres du ménage:19,character
S1_Q1__20,S1_Q1__20,I.1. Nom et prénom des membres du ménage:20,NA,,no,I.1. Nom et prénom des membres du ménage:20,character
S1_Q1__21,S1_Q1__21,I.1. Nom et prénom des membres du ménage:21,NA,,no,I.1. Nom et prénom des membres du ménage:21,character
S1_Q1__22,S1_Q1__22,I.1. Nom et prénom des membres du ménage:22,NA,,no,I.1. Nom et prénom des membres du ménage:22,character
S1_Q1__23,S1_Q1__23,I.1. Nom et prénom des membres du ménage:23,NA,,no,I.1. Nom et prénom des membres du ménage:23,character
S1_Q1__24,S1_Q1__24,I.1. Nom et prénom des membres du ménage:24,NA,,no,I.1. Nom et prénom des membres du ménage:24,character
S1_Q1__25,S1_Q1__25,I.1. Nom et prénom des membres du ménage:25,NA,,no,I.1. Nom et prénom des membres du ménage:25,character
S1_Q1__26,S1_Q1__26,I.1. Nom et prénom des membres du ménage:26,NA,,no,I.1. Nom et prénom des membres du ménage:26,character
S1_Q1__27,S1_Q1__27,I.1. Nom et prénom des membres du ménage:27,NA,,no,I.1. Nom et prénom des membres du ménage:27,character
S1_Q1__28,S1_Q1__28,I.1. Nom et prénom des membres du ménage:28,NA,,no,I.1. Nom et prénom des membres du ménage:28,character
S1_Q1__29,S1_Q1__29,I.1. Nom et prénom des membres du ménage:29,NA,,no,I.1. Nom et prénom des membres du ménage:29,character
S1_Q1__30,S1_Q1__30,I.1. Nom et prénom des membres du ménage:30,NA,,no,I.1. Nom et prénom des membres du ménage:30,character
S1_Q1__31,S1_Q1__31,I.1. Nom et prénom des membres du ménage:31,NA,,no,I.1. Nom et prénom des membres du ménage:31,character
S1_Q1__32,S1_Q1__32,I.1. Nom et prénom des membres du ménage:32,NA,,no,I.1. Nom et prénom des membres du ménage:32,character
S1_Q1__33,S1_Q1__33,I.1. Nom et prénom des membres du ménage:33,NA,,no,I.1. Nom et prénom des membres du ménage:33,character
S1_Q1__34,S1_Q1__34,I.1. Nom et prénom des membres du ménage:34,NA,,no,I.1. Nom et prénom des membres du ménage:34,character
S1_Q1__35,S1_Q1__35,I.1. Nom et prénom des membres du ménage:35,NA,,no,I.1. Nom et prénom des membres du ménage:35,character
S1_Q1__36,S1_Q1__36,I.1. Nom et prénom des membres du ménage:36,NA,,no,I.1. Nom et prénom des membres du ménage:36,character
S1_Q1__37,S1_Q1__37,I.1. Nom et prénom des membres du ménage:37,NA,,no,I.1. Nom et prénom des membres du ménage:37,character
S1_Q1__38,S1_Q1__38,I.1. Nom et prénom des membres du ménage:38,NA,,no,I.1. Nom et prénom des membres du ménage:38,character
S1_Q1__39,S1_Q1__39,I.1. Nom et prénom des membres du ménage:39,NA,,no,I.1. Nom et prénom des membres du ménage:39,character
S1_Q1__40,S1_Q1__40,I.1. Nom et prénom des membres du ménage:40,NA,,no,I.1. Nom et prénom des membres du ménage:40,character
S1_Q1__41,S1_Q1__41,I.1. Nom et prénom des membres du ménage:41,NA,,no,I.1. Nom et prénom des membres du ménage:41,character
S1_Q1__42,S1_Q1__42,I.1. Nom et prénom des membres du ménage:42,NA,,no,I.1. Nom et prénom des membres du ménage:42,character
S1_Q1__43,S1_Q1__43,I.1. Nom et prénom des membres du ménage:43,NA,,no,I.1. Nom et prénom des membres du ménage:43,character
S1_Q1__44,S1_Q1__44,I.1. Nom et prénom des membres du ménage:44,NA,,no,I.1. Nom et prénom des membres du ménage:44,character
S1_Q1__45,S1_Q1__45,I.1. Nom et prénom des membres du ménage:45,NA,,no,I.1. Nom et prénom des membres du ménage:45,character
S1_Q1__46,S1_Q1__46,I.1. Nom et prénom des membres du ménage:46,NA,,no,I.1. Nom et prénom des membres du ménage:46,character
S1_Q1__47,S1_Q1__47,I.1. Nom et prénom des membres du ménage:47,NA,,no,I.1. Nom et prénom des membres du ménage:47,character
S1_Q1__48,S1_Q1__48,I.1. Nom et prénom des membres du ménage:48,NA,,no,I.1. Nom et prénom des membres du ménage:48,character
S1_Q1__49,S1_Q1__49,I.1. Nom et prénom des membres du ménage:49,NA,,no,I.1. Nom et prénom des membres du ménage:49,character
S1_Q1__50,S1_Q1__50,I.1. Nom et prénom des membres du ménage:50,NA,,no,I.1. Nom et prénom des membres du ménage:50,character
S1_Q1__51,S1_Q1__51,I.1. Nom et prénom des membres du ménage:51,NA,,no,I.1. Nom et prénom des membres du ménage:51,character
S1_Q1__52,S1_Q1__52,I.1. Nom et prénom des membres du ménage:52,NA,,no,I.1. Nom et prénom des membres du ménage:52,character
S1_Q1__53,S1_Q1__53,I.1. Nom et prénom des membres du ménage:53,NA,,no,I.1. Nom et prénom des membres du ménage:53,character
S1_Q1__54,S1_Q1__54,I.1. Nom et prénom des membres du ménage:54,NA,,no,I.1. Nom et prénom des membres du ménage:54,character
S1_Q1__55,S1_Q1__55,I.1. Nom et prénom des membres du ménage:55,NA,,no,I.1. Nom et prénom des membres du ménage:55,character
S1_Q1__56,S1_Q1__56,I.1. Nom et prénom des membres du ménage:56,NA,,no,I.1. Nom et prénom des membres du ménage:56,character
S1_Q1__57,S1_Q1__57,I.1. Nom et prénom des membres du ménage:57,NA,,no,I.1. Nom et prénom des membres du ménage:57,character
S1_Q1__58,S1_Q1__58,I.1. Nom et prénom des membres du ménage:58,NA,,no,I.1. Nom et prénom des membres du ménage:58,character
S1_Q1__59,S1_Q1__59,I.1. Nom et prénom des membres du ménage:59,NA,,no,I.1. Nom et prénom des membres du ménage:59,character
S2_Q1,S2_Q1,II.1 Quel est le matériau dominant du toit du logement principal du ménage ?,1=Béton/Ciment | 2=Tuile/Ardoise | 3=Tôle en métal | 4=Chaume/Paille | 5=Autre (à préciser),,no,II.1 Quel est le matériau dominant du toit du logement principal du ménage ?,"haven_labelled, vctrs_vctr, double"
S2_Q1_autre,S2_Q1_autre,II.1 Précisez le matériau dominant,NA,,no,II.1 Précisez le matériau dominant,character
S2_Q2,S2_Q2,II.2 Quel est le matériau dominant des murs/clôtures du logement principal du mé,1=Briques en ciment | 2=Banco stabilisé | 3=Brique en banco | 4=Bois | 5=Tôle en métal | 6=Paille/Tige | 7=Autres (à préciser),,no,II.2 Quel est le matériau dominant des murs/clôtures du logement principal du mé,"haven_labelled, vctrs_vctr, double"
S2_Q2_autre,S2_Q2_autre,II.2 Précisez le matériau dominant des murs,NA,,no,II.2 Précisez le matériau dominant des murs,character
S2_Q3,S2_Q3,"II.3 Combien de pièces, à usage d’habitation, votre ménage occupe-t-il?",NA,,no,"II.3 Combien de pièces, à usage d’habitation, votre ménage occupe-t-il?",character
S2_Q3_conv,S2_Q3_conv,Nombre de pieces,NA,,no,Nombre de pieces,numeric
S2_Q4,S2_Q4,II.4 Quel est le statut d’occupation du logement de votre ménage ?,1=Propriétaire | 2=Copropriétaire | 3=Locataire | 4=Colocataire | 5=Logé gratuitement | 6=Autre (à préciser),,no,II.4 Quel est le statut d’occupation du logement de votre ménage ?,"haven_labelled, vctrs_vctr, double"
S2_Q4_autre,S2_Q4_autre,II.4 Précisez le statut d'occupation ?,NA,,no,II.4 Précisez le statut d'occupation ?,character
S2_Q5__1,S2_Q5__1,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,NA,,no,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,numeric
S2_Q5__2,S2_Q5__2,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,NA,,no,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,numeric
S2_Q5__3,S2_Q5__3,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,NA,,no,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,numeric
S2_Q5__4,S2_Q5__4,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,NA,,no,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,numeric
S2_Q5__5,S2_Q5__5,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,NA,,no,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,numeric
S2_Q5__6,S2_Q5__6,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,NA,,no,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,numeric
S2_Q5__7,S2_Q5__7,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,NA,,no,II.5 Quelles sont les deux principales sources d’énergie les plus utilisées par,numeric
S2_Q5_autre,S2_Q5_autre,II.5 Précisez la source d'énergie la plus utilisée par votre ménage,NA,,no,II.5 Précisez la source d'énergie la plus utilisée par votre ménage,character
S2_Q6__1,S2_Q6__1,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,NA,,no,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,numeric
S2_Q6__2,S2_Q6__2,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,NA,,no,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,numeric
S2_Q6__3,S2_Q6__3,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,NA,,no,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,numeric
S2_Q6__4,S2_Q6__4,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,NA,,no,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,numeric
S2_Q6__5,S2_Q6__5,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,NA,,no,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,numeric
S2_Q6__6,S2_Q6__6,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,NA,,no,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,numeric
S2_Q6__7,S2_Q6__7,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,NA,,no,II.6 Quelles sont les deux principales sources d’énergie les plus utilisées pour,numeric
S2_Q6_autre,S2_Q6_autre,II.6 Précisez la source d'énergie la plus utilisée pour l'élcairage,NA,,no,II.6 Précisez la source d'énergie la plus utilisée pour l'élcairage,character
S2_Q7__1,S2_Q7__1,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Ordinateur fi,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Ordinateur fi,numeric
S2_Q7__2,S2_Q7__2,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Internet,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Internet,numeric
S2_Q7__3,S2_Q7__3,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Ventilateur,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Ventilateur,numeric
S2_Q7__4,S2_Q7__4,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Climatiseur,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Climatiseur,numeric
S2_Q7__5,S2_Q7__5,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Télévision,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Télévision,numeric
S2_Q7__6,S2_Q7__6,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Vidéo/VCD/DVD,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Vidéo/VCD/DVD,numeric
S2_Q7__7,S2_Q7__7,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Radio/Radioca,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Radio/Radioca,numeric
S2_Q7__8,S2_Q7__8,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Téléphone fix,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Téléphone fix,numeric
S2_Q7__9,S2_Q7__9,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Téléphone por,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Téléphone por,numeric
S2_Q7__10,S2_Q7__10,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Cuisinière mo,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Cuisinière mo,numeric
S2_Q7__11,S2_Q7__11,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Foyer amélior,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Foyer amélior,numeric
S2_Q7__12,S2_Q7__12,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Réfrigérateur,NA,,no,II.7 Votre ménage possède-t-il les biens et équipements suivants ?:Réfrigérateur,numeric
